"","Date","open","high","low","close","volume"
"1",2017-01-02,8210.1,8211.7,8134.3,8179.2,117899648
"2",2017-01-03,8195.25,8219,8148.65,8189.05,135579793
"3",2017-01-04,8200.8,8218.45,8180.95,8196.35,141064842
"4",2017-01-05,8226.65,8282.55,8223.9,8270.5,166577106
"5",2017-01-06,8283,8306.5,8233.45,8248.2,150211914
"6",2017-01-09,8259.1,8260.3,8228,8234.55,106756707
"7",2017-01-10,8262.7,8293.55,8262.25,8290.3,159650303
"8",2017-01-11,8329.85,8388.8,8322.55,8374.3,215074088
"9",2017-01-12,8391.05,8417,8382.35,8409.15,163662059
"10",2017-01-13,8457.65,8457.65,8373.15,8397.8,185460739
"11",2017-01-16,8390.95,8426.7,8374.75,8418.7,135425266
"12",2017-01-17,8415.05,8440.85,8378.3,8388.8,140549707
"13",2017-01-18,8408.95,8460.2,8397.45,8413.75,162965422
"14",2017-01-19,8418.4,8445.05,8404.3,8431.2,163295303
"15",2017-01-20,8404.35,8423.45,8341,8343.85,188399181
"16",2017-01-23,8329.6,8403.95,8328.05,8398,197522658
"17",2017-01-24,8407.05,8480.75,8399.45,8476.75,166168844
"18",2017-01-25,8499.45,8612.15,8494.1,8597.5,302719956
"19",2017-01-27,8610.5,8672.55,8610.05,8641.95,282394123
"20",2017-01-30,8635.45,8662.55,8617.8,8633.7,172216438
"21",2017-01-31,8629.45,8629.45,8552.85,8556.55,304895769
"22",2017-02-01,8570.35,8722.4,8537.8,8715.5,274599281
"23",2017-02-02,8725.15,8756.9,8685.8,8722.3,230914571
"24",2017-02-03,8735.15,8747.7,8707.75,8738.55,164460814
"25",2017-02-06,8785.45,8814,8770.2,8796.1,156601918
"26",2017-02-07,8805.7,8808.35,8741.25,8770.75,180940436
"27",2017-02-08,8774.55,8791.15,8715.15,8775.8,180500647
"28",2017-02-09,8795.55,8821.2,8724.45,8786.55,168765538
"29",2017-02-10,8812.35,8821.65,8771.2,8794.05,210667205
"30",2017-02-13,8818.85,8826.45,8754.3,8802.05,164759623
"31",2017-02-14,8819.9,8819.9,8772.65,8784.15,165140165
"32",2017-02-15,8777.65,8807.65,8713.05,8728.2,195106257
"33",2017-02-16,8739,8783.8,8719.95,8777.8,182528709
"34",2017-02-17,8883.7,8885.9,8804.75,8816.95,279020714
"35",2017-02-20,8818.55,8885.35,8809.85,8884.25,150706179
"36",2017-02-21,8890.75,8920.5,8861.05,8903.25,156514278
"37",2017-02-22,8931.45,8960.6,8905.5,8930.1,257191778
"38",2017-02-23,8952.55,8981.9,8928.1,8941.2,320126240
"39",2017-02-27,8943.7,8951.55,8889.3,8896.45,195571695
"40",2017-02-28,8898.95,8914.75,8868.1,8875.2,239674131
"41",2017-03-01,8904.4,8960.8,8900.65,8941.8,203411767
"42",2017-03-02,8982.85,8992.35,8880.2,8893.9,210087636
"43",2017-03-03,8885.55,8906.9,8860.3,8902.2,202119337
"44",2017-03-06,8915.1,8967.75,8914.7,8962.6,173104235
"45",2017-03-07,8977.75,8977.75,8933,8944.95,171612164
"46",2017-03-08,8950.7,8956.8,8892.25,8923.85,193457469
"47",2017-03-09,8914.5,8945.35,8900.5,8927.8,168587379
"48",2017-03-10,8953.7,8975.3,8904.1,8936.85,144254572
"49",2017-03-14,9091.65,9120.6,9060.7,9073.35,262106089
"50",2017-03-15,9086.85,9106.25,9075.6,9082.6,177777300
"51",2017-03-16,9129.65,9158.1,9129.4,9157.3,181467234
"52",2017-03-17,9207.8,9214.1,9148.2,9152.15,263620104
"53",2017-03-20,9166.95,9166.95,9116.35,9129.55,144806851
"54",2017-03-21,9133.95,9147.6,9087.25,9126.1,196522026
"55",2017-03-22,9047.2,9072.7,9019.4,9027.65,197083310
"56",2017-03-23,9048.75,9098.85,9048.6,9081.8,177041124
"57",2017-03-24,9104,9133.55,9089.6,9100.4,170006185
"58",2017-03-27,9093.45,9094.6,9024.65,9052.9,170512656
"59",2017-03-28,9081.5,9110.15,9079.9,9108.3,160913002
"60",2017-03-29,9128.7,9152.35,9109.25,9145.05,198874216
"61",2017-03-30,9142.6,9181.1,9137.65,9158.95,317725897
"62",2017-03-31,9158.9,9191.15,9152.15,9170.7,214229991
"63",2017-04-03,9220.6,9244.6,9192.65,9243,156047484
"64",2017-04-05,9264.4,9273.8,9215.55,9256.9,199844778
"65",2017-04-06,9245.8,9267.6,9219.05,9256.65,198633200
"66",2017-04-07,9223.7,9250.45,9188.7,9196.9,210169766
"67",2017-04-10,9225.6,9225.6,9174.85,9176.8,152634901
"68",2017-04-11,9184.55,9242.55,9174.45,9233.8,183191395
"69",2017-04-12,9242.5,9246.25,9161.95,9201.05,168594630
"70",2017-04-13,9202.5,9202.5,9145,9147.3,188265490
"71",2017-04-17,9144.75,9159.85,9120.35,9139.35,140437684
"72",2017-04-18,9163,9217.8,9095.75,9100.45,179235345
"73",2017-04-19,9112.2,9120.3,9075.3,9114.05,179914596
"74",2017-04-20,9108.1,9143.65,9106.3,9136.1,168088011
"75",2017-04-21,9179.1,9183.2,9088.95,9119.3,164369633
"76",2017-04-24,9135.35,9225.05,9130.75,9217.7,172036102
"77",2017-04-25,9273.05,9308.85,9250.85,9303.75,186372847
"78",2017-04-26,9336.2,9366.7,9302.75,9344.1,208587223
