"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"1",3,3,"2017-01-04",8200.8,8218.45,1,8196.35,141064842,8195.25,8219,1,8189.05,135579793,NA,NA,NA,NA,0.00120354970005998,NA,8218,NA,253479441,NA
"2",4,4,"2017-01-05",8226.65,8282.55,1,8270.5,166577106,8200.8,8218.45,1,8196.35,141064842,NA,NA,NA,NA,0.000891037201775191,NA,8217.45,NA,394544283,NA
"3",5,5,"2017-01-06",8283,8306.5,1,8248.2,150211914,8226.65,8282.55,1,8270.5,166577106,NA,NA,NA,NA,0.00900603347733586,NA,8281.55,NA,561121389,NA
"4",6,6,"2017-01-09",8259.1,8260.3,1,8234.55,106756707,8283,8306.5,1,8248.2,150211914,NA,NA,NA,NA,-0.00269997197684724,NA,8305.5,NA,410909475,NA
"5",7,7,"2017-01-10",8262.7,8293.55,1,8290.3,159650303,8259.1,8260.3,1,8234.55,106756707,NA,NA,NA,NA,-0.00165627739551333,NA,8259.3,NA,304152768,NA
"6",8,8,"2017-01-11",8329.85,8388.8,1,8374.3,215074088,8262.7,8293.55,1,8290.3,159650303,NA,NA,NA,NA,0.0067474393431759,NA,8292.55,NA,463803071,NA
"7",9,9,"2017-01-12",8391.05,8417,1,8409.15,163662059,8329.85,8388.8,1,8374.3,215074088,NA,NA,NA,NA,0.0100813354574463,NA,8387.8,NA,678877159,NA
"8",10,10,"2017-01-13",8457.65,8457.65,1,8397.8,185460739,8391.05,8417,1,8409.15,163662059,NA,NA,NA,NA,0.00415290659394607,NA,8416,NA,842539218,NA
"9",12,12,"2017-01-17",8415.05,8440.85,1,8388.8,140549707,8390.95,8426.7,1,8418.7,135425266,NA,NA,NA,0.0763477249158497,0.00248565525060052,NA,8425.7,NA,792503745,NA
"10",13,13,"2017-01-18",8408.95,8460.2,1,8413.75,162965422,8415.05,8440.85,1,8388.8,140549707,NA,NA,NA,0.0838557609225298,-0.00355793919879055,NA,8439.85,NA,651954038,NA
"11",14,14,"2017-01-19",8418.4,8445.05,1,8431.2,163295303,8408.95,8460.2,1,8413.75,162965422,NA,NA,NA,0.0745828405582438,0.00296978950665405,NA,8459.2,NA,814919460,NA
"12",15,15,"2017-01-20",8404.35,8423.45,1,8343.85,188399181,8418.4,8445.05,1,8431.2,163295303,NA,NA,NA,0.0692181382095802,0.00207183829480506,NA,8444.05,NA,978214763,0.00342822016266314
"13",16,16,"2017-01-23",8329.6,8403.95,1,8398,197522658,8404.35,8423.45,1,8343.85,188399181,NA,66.6734177215188,NA,0.0966331061839704,-0.0104143700901602,NA,8430.2,NA,789815582,0.0137542557215813
"14",17,17,"2017-01-24",8407.05,8480.75,1,8476.75,166168844,8329.6,8403.95,1,8398,197522658,NA,70.1937479534891,NA,0.096148544701417,0.00646884171457174,NA,8402.95,NA,987338240,0.00735294117647067
"15",18,18,"2017-01-25",8499.45,8612.15,1,8597.5,302719956,8407.05,8480.75,1,8476.75,166168844,NA,74.4248006949063,NA,0.0940233276711167,0.00933353936397019,NA,8479.75,NA,1153507084,0.000471712019811905
