"","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"2",2,"2017-01-03",8195.25,8219,8148.65,8189.05,135579793,8210.1,8211.7,8134.3,8179.2,117899648,NA,NA,NA,NA,NA,NA,NA,NA,117899648,NA
"3",3,"2017-01-04",8200.8,8218.45,8180.95,8196.35,141064842,8195.25,8219,8148.65,8189.05,135579793,NA,NA,NA,NA,0.00120354970005998,NA,70.3500000000004,NA,253479441,NA
"4",4,"2017-01-05",8226.65,8282.55,8223.9,8270.5,166577106,8200.8,8218.45,8180.95,8196.35,141064842,NA,NA,NA,NA,0.000891037201775191,NA,37.5000000000009,NA,394544283,NA
"5",5,"2017-01-06",8283,8306.5,8233.45,8248.2,150211914,8226.65,8282.55,8223.9,8270.5,166577106,NA,NA,NA,NA,0.00900603347733586,NA,86.1999999999989,NA,561121389,NA
"6",6,"2017-01-09",8259.1,8260.3,8228,8234.55,106756707,8283,8306.5,8233.45,8248.2,150211914,NA,NA,NA,NA,-0.00269997197684724,NA,73.0499999999993,NA,410909475,NA
"7",7,"2017-01-10",8262.7,8293.55,8262.25,8290.3,159650303,8259.1,8260.3,8228,8234.55,106756707,NA,NA,NA,NA,-0.00165627739551333,NA,32.2999999999993,NA,304152768,NA
"8",8,"2017-01-11",8329.85,8388.8,8322.55,8374.3,215074088,8262.7,8293.55,8262.25,8290.3,159650303,NA,NA,NA,NA,0.0067474393431759,NA,59,NA,463803071,NA
"9",9,"2017-01-12",8391.05,8417,8382.35,8409.15,163662059,8329.85,8388.8,8322.55,8374.3,215074088,NA,NA,NA,NA,0.0100813354574463,NA,98.5,NA,678877159,NA
"10",10,"2017-01-13",8457.65,8457.65,8373.15,8397.8,185460739,8391.05,8417,8382.35,8409.15,163662059,NA,NA,NA,NA,0.00415290659394607,NA,42.7000000000007,NA,842539218,NA
"11",11,"2017-01-16",8390.95,8426.7,8374.75,8418.7,135425266,8457.65,8457.65,8373.15,8397.8,185460739,NA,NA,NA,0.0769767162129881,-0.00135063193802587,NA,84.5,NA,657078479,NA
